1.0 7.0 3.5
3.0 6.0 0.5
3.0 20.0 2.5
3.0 25.0 1.5
3.0 27.0 4.0
3.0 29.0 3.0
3.0 31.0 3.0
3.0 32.0 2.0
3.0 34.0 3.0
3.0 36.0 2.0
3.0 48.0 4.0
3.0 55.0 2.5
3.0 63.0 1.5
3.0 65.0 0.5
3.0 74.0 2.5
3.0 83.0 2.5
3.0 84.0 3.5
3.0 86.0 3.5
3.0 99.0 3.0
3.0 101.0 3.0
3.0 102.0 4.0
3.0 103.0 4.0
3.0 106.0 3.0
3.0 110.0 4.0
3.0 111.0 4.0
3.0 114.0 4.0
3.0 115.0 4.0
3.0 123.0 3.5
3.0 124.0 3.5
3.0 131.0 2.5
3.0 148.0 3.5
3.0 154.0 1.5
3.0 155.0 4.0
3.0 169.0 3.5
3.0 185.0 2.5
3.0 190.0 4.0
3.0 193.0 4.0
3.0 195.0 1.5
3.0 198.0 4.0
4.0 206.0 3.0
4.0 207.0 2.0
6.0 2.0 4.0
7.0 3.0 0.5
7.0 213.0 1.5
7.0 214.0 1.5
10.0 11.0 4.0
10.0 215.0 4.0
12.0 207.0 4.0
12.0 211.0 2.5
13.0 206.0 4.0
13.0 221.0 1.5
13.0 225.0 0.5
13.0 227.0 3.0
14.0 7.0 3.5
16.0 7.0 3.5
16.0 219.0 3.0
18.0 9.0 3.5
19.0 2.0 4.0
19.0 213.0 3.0
20.0 7.0 3.0
21.0 5.0 4.0
21.0 10.0 3.5
21.0 17.0 4.0
21.0 239.0 3.0
21.0 241.0 4.0
21.0 243.0 4.0
21.0 245.0 4.0
21.0 246.0 4.0
21.0 247.0 4.0
21.0 249.0 3.0
21.0 252.0 3.0
22.0 12.0 4.0
22.0 17.0 4.0
23.0 1.0 3.0
23.0 3.0 4.0
25.0 3.0 4.0
25.0 8.0 3.0
25.0 121.0 3.0
25.0 205.0 2.5
25.0 211.0 4.0
25.0 236.0 3.5
25.0 243.0 3.5
25.0 245.0 3.5
25.0 247.0 2.5
25.0 248.0 4.0
25.0 256.0 3.5
26.0 11.0 3.0
27.0 3.0 1.0
27.0 5.0 2.5
27.0 13.0 2.0
27.0 212.0 3.0
27.0 217.0 3.5
28.0 3.0 2.0
28.0 121.0 3.0
28.0 205.0 3.5
28.0 219.0 3.5
28.0 235.0 3.0
28.0 236.0 4.0
28.0 241.0 3.0
28.0 243.0 3.5
28.0 247.0 3.0
29.0 264.0 3.0
29.0 276.0 3.0
